npi,communityId
1003013160,1390
1003050972,1384
1003063314,1384
1003071333,1405
1003075862,1395
1003113200,1391
1003198359,1395
1003801788,1386
1003813874,1390
1003819277,1393
1003854258,1395
1003860982,1400
1003876236,1386
1003897380,1400
1003903139,1384
1013092089,1384
1013179860,1391
1013902782,1386
1013908730,1390
1013936079,1384
1013957976,1390
1013958776,1395
1023000999,1386
1023009818,1393
1023019429,1390
1023055126,1386
1023061520,1386
1023065232,1390
1023076882,1395
1023100435,1384
1023103462,1386
1023157195,1395
1023165909,1384
1023205531,1390
1023452331,1388
1033100763,1393
1033168059,1384
1033187810,1395
1033200852,1391
1033206149,1384
1033246640,1387
1033278429,1390
1033297429,1388
1033316484,1391
1033343728,1391
1033353487,1388
1033370986,1395
1043205008,1400
1043219165,1386
1043229495,1384
1043281710,1395
1043294747,1391
1043300288,1390
1043351471,1395
1043394166,1384
1043400435,1388
1053303248,1400
1053306175,1395
1053314963,1393
1053337717,1385
1053394916,1395
1053406405,1386
1053408567,1400
1053425181,1400
1053453795,1391
1053468926,1384
1053519785,1400
1063403434,1393
1063407351,1386
1063407534,1399
1063415131,1399
1063445641,1384
1063449031,1387
1063452399,1390
1063452902,1390
1063458255,1393
1063467876,1400
1063483568,1391
1063485373,1390
1063506921,1391
1063739480,1391
1063864775,1387
1073505830,1390
1073516001,1399
1073518734,1405
1073547402,1386
1073580338,1393
1073600102,1384
1073603411,1387
1073605481,1384
1073605499,1384
1073607784,1384
1073633780,1387
1073808747,1384
1073856696,1385
1083001747,1391
1083606248,1390
1083609481,1385
1083614044,1395
1083622575,1391
1083659163,1385
1083665962,1391
1083687305,1391
1083703540,1386
1083712939,1384
1083713424,1384
1083798193,1384
1083871164,1384
1083905822,1386
1093150351,1393
1093155913,1388
1093706962,1386
1093718272,1399
1093738536,1395
1093750564,1395
1093769606,1385
1093809857,1386
1093818981,1384
1093830176,1400
1104020684,1384
1104025329,1384
1104137215,1400
1104244458,1391
1104269067,1390
1104802271,1400
1104808641,1384
1104810274,1384
1104812551,1386
1104817907,1393
1104818889,1385
1104820760,1393
1104836741,1391
1104859115,1395
1104862234,1384
1104863554,1390
1104871029,1391
1104890003,1391
1104897164,1388
1104912013,1384
1104917061,1395
1104933738,1391
1114001229,1390
1114004983,1393
1114019528,1387
1114019536,1384
1114019833,1388
1114020336,1400
1114174547,1384
1114313319,1400
1114916095,1391
1114961513,1386
1114961596,1400
1114966835,1390
1114974979,1385
1114979184,1388
1124003561,1395
1124007919,1386
1124007984,1391
1124043880,1391
1124061676,1395
1124065255,1386
1124067533,1390
1124096904,1395
1124097126,1391
1124115258,1384
1124146683,1384
1124150016,1400
1124175922,1385
1124246681,1388
1124292081,1384
1134117690,1395
1134154461,1391
1134178171,1390
1134203243,1384
1134211543,1384
1134211550,1387
1134247570,1395
1134337983,1387
1134355647,1388
1134410129,1391
1134486467,1384
1144211830,1390
1144221391,1390
1144224981,1393
1144259631,1391
1144264458,1387
1144288747,1400
1144309121,1386
1144312554,1384
1144312562,1384
1144377011,1384
1144383738,1385
1144469826,1384
1144535634,1384
1144587205,1384
1144588690,1384
1144594573,1390
1144664376,1400
1144667288,1391
1154311413,1384
1154312908,1393
1154313708,1393
1154324325,1391
1154339737,1384
1154341543,1390
1154342046,1395
1154344836,1388
1154359602,1384
1154366409,1393
1154376259,1393
1154392918,1395
1154398105,1388
1154418267,1384
1154420594,1384
1154425361,1388
1154491207,1386
1154531911,1386
1154534923,1395
1154597458,1384
1164426979,1393
1164468906,1384
1164469227,1400
1164504544,1395
1164590386,1395
1164693008,1384
1164832648,1395
1174500896,1391
1174517593,1384
1174543516,1385
1174556492,1390
1174564314,1391
1174565543,1393
1174576599,1386
1174580286,1386
