"","to_npi","from_npi","patient_count","transaction_count","average_day_wait","std_day_wait","hospital_type","pcp_class","pcp_special","to_organization","full_name","credential_text","middle_name","name_prefix_text","name_suffix_text","pcp_communityid","hospital_communityid"
"29",1023055126,1982661617,48,67,46.746,59.551,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHRISTIE GREEN","MD","A","NULL","NULL",1395,1386
"30",1023055126,1750376786,78,178,15.843,27.785,"General Acute Care Hospital","Internal Medicine","Rheumatology","HCA HEALTH SERVICES OF TENNESSEE, INC.","PAUL WHEELER","MD","W","MR.","NULL",1393,1386
"31",1023055126,1194751354,100,141,42.184,59.011,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","NANCY PEACOCK","MD","W","NULL","NULL",1393,1386
"32",1023055126,1417273061,152,304,0.046,0.803,"General Acute Care Hospital","Internal Medicine","Interventional Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","SAMUEL HORR","MD","EDWARD","NULL","NULL",1386,1386
"33",1023055126,1053519785,147,166,43.133,58.558,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","JONATHAN HODA","M.D.","ANDREW","DR.","NULL",1400,1386
"34",1023055126,1881836856,356,429,0,0,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","NIKOL MOORE","M.D.","ERIN HALL","MRS.","NULL",1386,1386
"35",1023055126,1497791602,173,306,23.83,40.322,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","FRANK GRECO","MD","ANTHONY","NULL","NULL",1386,1386
"36",1023055126,1720158868,219,315,35.413,63.404,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","DAVID EDWARDS","MD","LINWOOD","NULL","NULL",1386,1386
"37",1023055126,1508830407,936,1485,7.036,28.591,"General Acute Care Hospital","Internal Medicine","Interventional Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","BRIAN JEFFERSON","MD","KEITH","DR.","NULL",1386,1386
"38",1023055126,1821269465,149,293,14.898,35.158,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","MELISSA JOHNSON","MD","LYNNE","DR.","NULL",1386,1386
"39",1023055126,1184949752,378,709,0.932,12.661,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","TAOPHEEQ MUSTAPHA","MD","AYODELE","DR.","NULL",1386,1386
"40",1023055126,1801030523,479,883,1.777,14.16,"General Acute Care Hospital","Internal Medicine","Gastroenterology","HCA HEALTH SERVICES OF TENNESSEE, INC.","MATTHEW NEFF","NULL","NULL","NULL","NULL",1386,1386
"41",1023055126,1265497788,52,79,22.633,47.114,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","SHANNAH STEEL","D.O.","LEA","DR.","NULL",1386,1386
"42",1023055126,1154491207,137,211,24.161,34.244,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","BURTON SANDERS","MD","P","NULL","NULL",1386,1386
"43",1023055126,1801829114,268,512,19.352,38.199,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","DENISE YARDLEY","M.D.","A","NULL","NULL",1386,1386
"44",1023055126,1497724124,147,270,0.085,0.391,"General Acute Care Hospital","Internal Medicine","Critical Care Medicine","HCA HEALTH SERVICES OF TENNESSEE, INC.","SUZETTE ANN KILGORE","M.D.","DENISE","NULL","NULL",1386,1386
"45",1023055126,1528105616,60,81,45.235,51.99,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","JOHANN BRANDES","MD, PHD","CHRISTOPH","DR.","NULL",1395,1386
"46",1023055126,1679576839,47,65,46.862,68.673,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","WILLIAM HARTNESS","M.D.","OWEN","NULL","NULL",1393,1386
"47",1023055126,1962499582,377,721,13.139,32.303,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","DAVID HEUSINKVELD","MD","CHARLES","DR.","NULL",1386,1386
"48",1023055126,1447366075,165,170,46.576,61.649,"General Acute Care Hospital","Internal Medicine","Cardiovascular Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","NICHOLAS LIPPOLIS","M.D.","J.","NULL","NULL",1391,1386
"49",1023055126,1275720542,420,912,0.023,0.695,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","ARUN RAMAN","MD","KUMAR","NULL","NULL",1386,1386
"50",1023055126,1184612921,104,131,39.931,65.581,"General Acute Care Hospital","Family Medicine","Geriatric Medicine","HCA HEALTH SERVICES OF TENNESSEE, INC.","DONALD VOLLMER","M.D.","E","NULL","II",1385,1386
"51",1023055126,1154313708,85,123,41.886,55.09,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","B. DUNN","M.D.","RENTZ","NULL","JR.",1393,1386
"52",1023055126,1154342046,79,85,47.235,56.056,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","HRISHI KANTH","M.D.","M.","NULL","NULL",1395,1386
"53",1023055126,1679539886,354,743,0.047,0.283,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","VICTOR VALLEJO","MD","A","NULL","NULL",1386,1386
"54",1023055126,1851474092,84,127,39.118,46.85,"General Acute Care Hospital","Internal Medicine","Rheumatology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT COLLINS","M.D.","DEAVER","NULL","JR.",1386,1386
"55",1023055126,1619969482,98,148,40.108,54.475,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","JYOTHEEN KARAM","M.D.","S.","NULL","NULL",1395,1386
"56",1023055126,1417992397,70,145,12.159,26.629,"General Acute Care Hospital","Internal Medicine","Medical Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","HOWARD BURRIS","M.D.","A","NULL","NULL",1386,1386
"57",1023055126,1902007107,145,329,13.179,28.297,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","ERIKA HAMILTON","M.D.","P","NULL","NULL",1386,1386
"58",1023055126,1023103462,1280,2264,4.68,22.656,"General Acute Care Hospital","Internal Medicine","Advanced Heart Failure and Transplant Cardiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","THOMAS JOHNSTON","MD","STEVAN","NULL","NULL",1386,1386
"59",1023055126,1225023914,104,316,3.639,22.727,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","RICHARD MARTIN","MD","B","MR.","NULL",1386,1386
"60",1023055126,1689677619,91,119,41.277,53.647,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","ROBERT ORGAIN","MD","W","DR.","NULL",1399,1386
"61",1023055126,1811935612,70,86,44.047,56.758,"General Acute Care Hospital","General Practice","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","ERIK MOTSENBOCKER","M.D.","BYRON","NULL","NULL",1405,1386
"62",1023055126,1801880737,71,157,19.064,24.616,"General Acute Care Hospital","Family Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JOHN ADEWUMI","M.D.","T.","DR.","NULL",1386,1386
"63",1023055126,1487854311,636,1400,11.456,28.056,"General Acute Care Hospital","Internal Medicine","Clinical Cardiac Electrophysiology","HCA HEALTH SERVICES OF TENNESSEE, INC.","GREGORY BASHIAN","M.D.","GARO","DR.","NULL",1386,1386
"64",1023055126,1417169319,240,928,1.14,9.238,"General Acute Care Hospital","Internal Medicine","Infectious Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","SYDNEY HESTER","MD","NULL","NULL","NULL",1386,1386
"65",1023055126,1093830176,62,81,44.605,52.127,"General Acute Care Hospital","Internal Medicine","Hematology & Oncology","HCA HEALTH SERVICES OF TENNESSEE, INC.","CHIRAG AMIN","MD","JITENDRA","DR.","NULL",1400,1386
"66",1023055126,1427043645,498,1773,4.434,19.738,"General Acute Care Hospital","Internal Medicine","Pulmonary Disease","HCA HEALTH SERVICES OF TENNESSEE, INC.","SALIM MEHIO","MD","SUHAYL","MR.","NULL",1386,1386
"67",1023055126,1386820413,162,889,2.584,14.029,"General Acute Care Hospital","Internal Medicine","Nephrology","HCA HEALTH SERVICES OF TENNESSEE, INC.","PRAVEEN DANDAMUDI","M.D.","NULL","DR.","NULL",1386,1386
"68",1023055126,1538103692,127,157,47.414,64.018,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","JOHN WILLIAMS","M.D.","A","NULL","NULL",1393,1386
"69",1023055126,1790833267,42,63,40.46,54.448,"General Acute Care Hospital","Internal Medicine","NULL","HCA HEALTH SERVICES OF TENNESSEE, INC.","MALEK AL OMARY","MD","H","MR.","NULL",1386,1386
