npi,communityId
1003013160,1388
1003050972,1382
1003063314,1382
1003071333,1403
1003075862,1393
1003113200,1389
1003198359,1393
1003801788,1384
1003813874,1388
1003819277,1391
1003854258,1393
1003860982,1396
1003876236,1384
1003897380,1396
1003903139,1382
1013092089,1382
1013179860,1389
1013902782,1384
1013908730,1388
1013936079,1382
1013957976,1388
1013958776,1393
1023000999,1384
1023009818,1391
1023019429,1388
1023055126,1384
1023061520,1384
1023065232,1388
1023076882,1393
1023100435,1382
1023103462,1384
1023157195,1393
1023165909,1382
1023205531,1388
1023452331,1386
1033100763,1391
1033168059,1382
1033187810,1393
1033200852,1389
1033206149,1382
1033246640,1413
1033278429,1388
1033297429,1386
1033316484,1389
1033343728,1389
1033353487,1386
1033370986,1393
1043205008,1396
1043219165,1384
1043229495,1382
1043281710,1393
1043294747,1389
1043300288,1388
1043351471,1393
1043394166,1382
1043400435,1386
1053303248,1396
1053306175,1393
1053314963,1391
1053337717,1381
1053394916,1393
1053406405,1384
1053408567,1396
1053425181,1396
1053453795,1389
1053468926,1382
1053519785,1396
1063403434,1391
1063407351,1384
1063407534,1397
1063415131,1397
1063445641,1382
1063449031,1413
1063452399,1388
1063452902,1388
1063458255,1391
1063467876,1396
1063483568,1389
1063485373,1388
1063506921,1389
1063739480,1389
1063864775,1413
1073505830,1388
1073516001,1397
1073518734,1403
1073547402,1384
1073580338,1391
1073600102,1382
1073603411,1413
1073605481,1382
1073605499,1382
1073607784,1382
1073633780,1413
1073808747,1382
1073856696,1381
1083001747,1389
1083606248,1388
1083609481,1381
1083614044,1393
1083622575,1389
1083659163,1381
1083665962,1389
1083687305,1389
1083703540,1384
1083712939,1382
1083713424,1382
1083798193,1382
1083871164,1382
1083905822,1384
1093150351,1391
1093155913,1386
1093706962,1384
1093718272,1397
1093738536,1393
1093750564,1393
1093769606,1381
1093809857,1384
1093818981,1382
1093830176,1396
1104020684,1382
1104025329,1382
1104137215,1396
1104244458,1389
1104269067,1388
1104802271,1396
1104808641,1382
1104810274,1382
1104812551,1384
1104817907,1391
1104818889,1381
1104820760,1391
1104836741,1389
1104859115,1393
1104862234,1382
1104863554,1388
1104871029,1389
1104890003,1389
1104897164,1386
1104912013,1382
1104917061,1393
1104933738,1389
1114001229,1388
1114004983,1391
1114019528,1413
1114019536,1382
1114019833,1386
1114020336,1396
1114174547,1382
1114313319,1396
1114916095,1389
1114961513,1384
1114961596,1396
1114966835,1388
1114974979,1381
1114979184,1386
1124003561,1393
1124007919,1384
1124007984,1389
1124043880,1389
1124061676,1393
1124065255,1384
1124067533,1388
1124096904,1393
1124097126,1389
1124115258,1382
1124146683,1382
1124150016,1396
1124175922,1381
1124246681,1386
1124292081,1382
1134117690,1393
1134154461,1389
1134178171,1388
1134203243,1382
1134211543,1382
1134211550,1413
1134247570,1393
1134337983,1413
1134355647,1386
1134410129,1389
1134486467,1382
1144211830,1388
1144221391,1388
1144224981,1391
1144259631,1389
1144264458,1413
1144288747,1396
1144309121,1384
1144312554,1382
1144312562,1382
1144377011,1382
1144383738,1381
1144469826,1382
1144535634,1382
1144587205,1382
1144588690,1382
1144594573,1388
1144664376,1396
1144667288,1389
1154311413,1382
1154312908,1391
1154313708,1391
1154324325,1389
1154339737,1382
1154341543,1388
1154342046,1393
1154344836,1386
1154359602,1382
1154366409,1391
1154376259,1391
1154392918,1393
1154398105,1386
1154418267,1382
1154420594,1382
1154425361,1386
1154491207,1384
1154531911,1384
1154534923,1393
1154597458,1382
1164426979,1391
1164468906,1382
1164469227,1396
1164504544,1393
1164590386,1393
1164693008,1382
1164832648,1393
1174500896,1389
1174517593,1382
1174543516,1381
1174556492,1388
1174564314,1389
1174565543,1391
1174576599,1384
1174580286,1384
1174669998,1396
1174670046,1382
1174670962,1382
1174718480,1393
1174727655,1382
1174730386,1382
1174910491,1396
1174919617,1396
1184048795,1393
1184069429,1391
1184603839,1397
1184611493,1388
1184612921,1381
1184615809,1388
1184619124,1396
1184620460,1384
1184650145,1391
1184697898,1381
1184867939,1386
1184885923,1382
1184914129,1388
1184949752,1384
1194046656,1382
1194710889,1384
1194716662,1413
1194741488,1382
1194743914,1391
1194751354,1391
1194817502,1382
1194872051,1391
1194969196,1382
1194987867,1382
1205030780,1382
1205819695,1382
1205822962,1388
1205825866,1396
1205826526,1389
1205827987,1413
1205830015,1393
1205878220,1397
1205878402,1393
1205879467,1389
1205897584,1413
1205923331,1382
1205945300,1393
1205978152,1393
1205983186,1382
1215017330,1382
1215029897,1386
1215036652,1382
1215084108,1382
1215091129,1382
1215105895,1382
1215155288,1382
1215193255,1382
1215216890,1391
1215295084,1384
1215377932,1393
1215900980,1382
1215902796,1393
1215916838,1386
1215926860,1393
1215926886,1393
1215937982,1391
1215979190,1396
1215995972,1396
1225023914,1384
1225027014,1389
1225029994,1391
1225031073,1388
1225039290,1396
1225078561,1388
1225120926,1384
1225203540,1391
1225269103,1382
1225329634,1382
1225411010,1382
1235101809,1389
1235137183,1382
1235154683,1393
1235163528,1397
1235171596,1389
1235172164,1382
1235172800,1393
1235196395,1413
1235215518,1389
1235238676,1382
1235242181,1384
1235357062,1391
1245203355,1389
1245208602,1386
1245225937,1384
1245267723,1382
1245271741,1381
1245275593,1391
1245300391,1384
1245313741,1381
1245322668,1382
1245325661,1384
1245334333,1388
1245368943,1389
1245541358,1396
1245556554,1382
1255301800,1396
1255316519,1388
1255323382,1406
1255355277,1389
1255368767,1388
1255370029,1388
1255400362,1384
1255488052,1413
1255548665,1382
1255579652,1393
1255624433,1382
1255642856,1393
1255674594,1389
1265423099,1391
1265426050,1384
1265427553,1384
1265445506,1413
1265464499,1396
1265465959,1391
1265487193,1384
1265497788,1384
1265529309,1382
1265551295,1382
1265606255,1384
1265636757,1413
1265756837,1393
1265875553,1388
1275524936,1391
1275528770,1396
1275536468,1389
1275546061,1382
1275597262,1391
1275620312,1382
1275631129,1382
1275646119,1384
1275680134,1388
1275720542,1384
1275767261,1382
1275793283,1384
1275828089,1393
1275888992,1389
1285615278,1381
1285617332,1382
1285620344,1382
1285625731,1391
1285625814,1391
1285627398,1388
1285629527,1382
1285644237,1389
1285662148,1384
1285676247,1388
1285682211,1384
1285695171,1384
1285716944,1382
1285723718,1384
1285732131,1382
1285733618,1382
1285781161,1382
1285862482,1391
1295052934,1393
1295093615,1382
1295178481,1382
1295706257,1389
1295709897,1388
1295720605,1393
1295770915,1391
1295780476,1381
1295882165,1382
1295882348,1382
1295919041,1389
1306010749,1382
1306037775,1388
1306040894,1382
1306053939,1391
1306111497,1386
1306819792,1396
